accuracy,precision,recall,f1_score,log_loss,repetition,,,,
0.6940,0.6744,0.6949,0.6661,0.8502,1,,,,
0.6943,0.6776,0.6973,0.6685,0.8467,2,,,,
0.6944,0.6757,0.6960,0.6673,0.8465,3,,,,
0.6938,0.6741,0.6958,0.6669,0.8544,4,,,,
0.6934,0.6719,0.6936,0.6649,0.8516,5,,,,
0.6936,0.6743,0.6962,0.6673,0.8529,6,,,,
0.6937,0.6776,0.6968,0.6680,0.8487,7,,,,
0.6935,0.6747,0.6936,0.6648,0.8573,8,,,,
0.6936,0.6753,0.6965,0.6677,0.8497,9,,,,
0.6940,0.6749,0.6982,0.6692,0.8541,10,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,